,model,MAE,Within20,Underdose_rate,Overdose_rate,Dose_category_accuracy,HR_MAE,HR_Within20,HR_Underdose_rate,HR_Overdose_rate,Hard_cases_count,Hard_cases_MAE,params
3,XGBOOST,8.75933839732441,0.42495479204339964,0.20524412296564196,0.36980108499095843,0.6853526220614828,7.841300720452027,0.41968911917098445,0.15544041450777202,0.42487046632124353,222,20.900307395178995,"{'model__subsample': 0.7, 'model__reg_lambda': 3, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}"
2,RF,8.929578705298216,0.4159132007233273,0.2179023508137432,0.36618444846292947,0.666365280289331,8.21203177077952,0.39896373056994816,0.16062176165803108,0.44041450777202074,222,21.371899311314227,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
1,Linear,8.990679611015741,0.42224231464737794,0.21247739602169982,0.36528028933092227,0.6763110307414105,7.715218871353561,0.39896373056994816,0.22797927461139897,0.37305699481865284,222,21.55065269077579,
0,IWPC,12.436307241631527,0.11482820976491863,0.310126582278481,0.020795660036166366,0.30018083182640143,10.783653297051801,0.09844559585492228,0.40932642487046633,0.02072538860103627,0,,
